task_num,task_id,instruction,libero_plus_id,suite,category,difficulty_level
1,pick_up_the_orange_juice_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_0_noise_26,Pick the orange juice and place it in the basket,1798,libero_object,Sensor Noise,L3
2,put_the_cream_cheese_in_the_bowl_view_0_0_100_0_0_initstate_0_noise_19,Put the cream cheese on the bowl,1753,libero_goal,Sensor Noise,L5
3,pick_up_the_ketchup_and_place_it_in_the_basket_view_0_0_100_10_4_initstate_0,Pick the ketchup and place it in the basket,793,libero_object,Camera Viewpoints,L3
4,pick_up_the_salad_dressing_and_place_it_in_the_basket_view_0_0_100_6_6_initstate_0,Pick the salad dressing and place it in the basket,700,libero_object,Camera Viewpoints,L5
5,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_add_22,Pick the akita black bowl on the cookies box and place it on the plate,1960,libero_spatial,Objects Layout,L4
6,turn_on_the_stove_moved_level2_sample1,Turn on the stove,2299,libero_goal,Objects Layout,L5
7,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_136,Pick the akita black bowl on the ramekin and place it on the plate,432,libero_spatial,Robot Initial States,L4
8,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_171,Pick the akita black bowl between the plate and the ramekin and place it on the plate,267,libero_spatial,Robot Initial States,L4
9,pick_up_the_alphabet_soup_and_place_it_in_the_basket_language_9,Pick up the container of lettershaped pasta in broth and place it in the woven holder,,libero_object,Language Paraphrase,L3
10,pick_up_the_bbq_sauce_and_place_it_in_the_basket_light_14,Pick the bbq sauce and place it in the basket,,libero_object,Lighting Change,L3
11,pick_up_the_butter_and_place_it_in_the_basket_table_6,Pick the butter and place it in the basket,,libero_object,Background/Table Change,L3
12,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_add_9,pick the chocolate pudding and place it in the basket,,libero_object,Objects Layout,L4
13,pick_up_the_cream_cheese_and_place_it_in_the_basket_view_0_0_100_5_3_initstate_0,Pick the cream cheese and place it in the basket,,libero_object,Camera Viewpoints,L4
14,pick_up_the_milk_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_58,Pick the milk and place it in the basket,,libero_object,Robot Initial States,L3
15,pick_up_the_tomato_sauce_and_place_it_in_the_basket_view_0_0_100_0_0_initstate_0_noise_8,Pick the tomato sauce and place it in the basket,,libero_object,Sensor Noise,L5
16,open_the_middle_drawer_of_the_cabinet_light_22,Open the middle layer of the drawer,,libero_goal,Lighting Change,L3
